105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,55000,73700,1.34,1.34,1.34,1.34,+0.05,1
105/10/27,150000,195000,1.30,1.30,1.30,1.30,-0.04,2
105/10/28,38000,50540,1.33,1.33,1.33,1.33,+0.03,1
105/10/31,115000,162720,1.42,1.42,1.40,1.42,+0.09,7
105/11/01,274000,413320,1.44,1.57,1.44,1.55,+0.13,14
105/11/02,429000,714550,1.68,1.69,1.63,1.69,+0.14,16
105/11/03,700000,1203600,1.63,1.80,1.63,1.76,+0.07,28
105/11/04,273000,493930,1.82,1.85,1.75,1.85,+0.09,10
105/11/07,617000,1340220,1.95,2.28,1.95,2.24,+0.39,28
105/11/08,893000,1959250,2.25,2.33,2.13,2.33,+0.09,41
105/11/09,521000,1301080,2.40,2.68,2.39,2.68,+0.35,37
105/11/10,565000,1412700,2.53,2.57,2.37,2.39,-0.29,13
105/11/11,239000,543430,2.33,2.33,2.21,2.23,-0.16,7
105/11/14,280000,619140,2.12,2.25,2.12,2.15,-0.08,9
105/11/15,294000,599080,2.08,2.08,1.90,1.94,-0.21,17
105/11/16,62000,118110,1.84,2.00,1.84,1.89,-0.05,20
105/11/17,73000,136530,1.84,1.92,1.83,1.88,-0.01,16
105/11/18,115000,229660,1.89,2.07,1.89,1.98,+0.10,15
105/11/21,35000,67700,1.96,1.96,1.90,1.90,-0.08,4
105/11/22,35000,63850,1.75,1.84,1.75,1.84,-0.06,3
105/11/23,32000,58410,1.80,1.85,1.74,1.74,-0.10,6
105/11/24,85000,152580,1.71,1.83,1.70,1.83,+0.09,10
105/11/25,83000,130170,1.59,1.59,1.50,1.50,-0.33,5
105/11/28,192000,248870,1.39,1.39,1.26,1.31,-0.19,22
105/11/29,86000,114420,1.33,1.37,1.30,1.35,+0.04,17
105/11/30,306000,399680,1.30,1.36,1.25,1.36,+0.01,10
105/12/01,775000,1152530,1.45,1.57,1.44,1.48,+0.12,30
105/12/02,384000,600030,1.57,1.59,1.52,1.54,+0.06,17
105/12/05,132000,204480,1.55,1.56,1.47,1.47,-0.07,5
105/12/06,434000,688120,1.56,1.62,1.56,1.60,+0.13,16
105/12/07,285000,434290,1.54,1.54,1.47,1.50,-0.10,9
105/12/08,80000,110920,1.45,1.45,1.29,1.30,-0.20,10
105/12/09,6000,8140,1.33,1.38,1.33,1.35,+0.05,6
105/12/12,450000,661340,1.41,1.54,1.41,1.54,+0.19,12
105/12/13,389000,591160,1.52,1.53,1.46,1.46,-0.08,8
105/12/14,206000,287530,1.44,1.44,1.32,1.33,-0.13,9
105/12/15,40000,53800,1.35,1.35,1.34,1.34,+0.01,2
105/12/16,54000,65140,1.18,1.25,1.15,1.25,-0.09,7
105/12/19,104000,129080,1.23,1.25,1.23,1.25,0.00,8
105/12/20,91000,105280,1.16,1.18,1.08,1.08,-0.17,7
105/12/21,35000,41100,1.18,1.18,1.17,1.17,+0.09,3
105/12/22,38000,43020,1.13,1.14,1.13,1.14,-0.03,2
105/12/23,50000,59150,1.19,1.19,1.18,1.19,+0.05,5
105/12/26,96000,111420,1.13,1.17,1.13,1.17,-0.02,4
105/12/27,156000,174680,1.13,1.13,1.10,1.11,-0.06,5
105/12/28,137000,151790,1.09,1.12,1.09,1.12,+0.01,4
105/12/29,194000,227830,1.16,1.21,1.15,1.21,+0.09,5
105/12/30,90000,107500,1.17,1.24,1.17,1.21,0.00,3
106/01/03,168000,218010,1.26,1.34,1.26,1.30,+0.09,7
