105/11/11,0,0,---,---,---,---,---,0
105/11/14,186000,373880,1.99,2.08,1.99,2.08,+0.02,4
105/11/15,116000,209460,1.89,1.89,1.72,1.72,-0.36,5
105/11/16,941000,1595880,1.60,1.80,1.60,1.78,+0.06,27
105/11/17,498000,789510,1.57,1.62,1.54,1.60,-0.18,9
105/11/18,259000,470530,1.75,1.83,1.75,1.77,+0.17,3
105/11/21,323000,543250,1.72,1.73,1.66,1.71,-0.06,6
105/11/22,940000,1471220,1.59,1.59,1.50,1.59,-0.12,14
105/11/23,690000,1093930,1.56,1.60,1.48,1.48,-0.11,13
105/11/24,475000,713950,1.47,1.58,1.42,1.58,+0.10,18
105/11/25,437000,545550,1.48,1.48,0.95,1.19,-0.39,20
105/11/28,204000,214110,1.09,1.09,0.99,1.02,-0.17,15
105/11/29,171000,175390,1.07,1.07,1.01,1.04,+0.02,11
105/11/30,260000,258700,0.97,1.01,0.97,1.00,-0.04,10
105/12/01,489000,586990,1.10,1.28,1.10,1.18,+0.18,21
105/12/02,190000,239350,1.29,1.29,1.22,1.23,+0.05,9
105/12/05,150000,180500,1.25,1.25,1.18,1.18,-0.05,5
105/12/06,191000,246920,1.27,1.32,1.25,1.30,+0.12,10
105/12/07,234000,289790,1.24,1.26,1.18,1.26,-0.04,10
105/12/08,323000,344330,1.17,1.17,1.00,1.08,-0.18,17
105/12/09,48000,50600,1.04,1.06,1.04,1.06,-0.02,3
105/12/12,365000,424350,1.12,1.23,1.12,1.23,+0.17,11
105/12/13,465000,545180,1.19,1.22,1.16,1.22,-0.01,15
105/12/14,155000,158900,1.07,1.07,0.99,0.99,-0.23,10
105/12/15,70000,72400,1.06,1.06,1.03,1.03,+0.04,3
105/12/16,170000,150000,0.88,0.89,0.84,0.89,-0.14,5
105/12/19,16000,14100,0.87,0.93,0.85,0.93,+0.04,5
105/12/20,56000,45260,0.86,0.86,0.79,0.79,-0.14,7
105/12/21,112000,94910,0.86,0.86,0.84,0.85,+0.06,4
105/12/22,42000,33600,0.80,0.80,0.80,0.80,-0.05,2
105/12/23,425000,354200,0.78,0.86,0.78,0.86,+0.06,6
105/12/26,466000,391170,0.80,0.87,0.80,0.85,-0.01,10
105/12/27,332000,260740,0.80,0.80,0.76,0.76,-0.09,9
105/12/28,391000,294750,0.76,0.80,0.72,0.80,+0.04,14
105/12/29,331000,281410,0.83,0.87,0.81,0.87,+0.07,13
105/12/30,300000,253510,0.84,0.88,0.81,0.88,+0.01,7
106/01/03,199000,184060,0.89,0.96,0.89,0.94,+0.06,8
106/01/04,219000,191720,0.87,0.89,0.87,0.87,-0.07,7
106/01/05,285000,224350,0.81,0.81,0.75,0.75,-0.12,9
106/01/06,310000,232500,0.75,0.75,0.75,0.75,0.00,4
106/01/09,1371000,1176930,0.74,0.92,0.74,0.88,+0.13,24
106/01/10,537000,456960,0.84,0.87,0.83,0.84,-0.04,15
106/01/11,286000,238150,0.80,0.90,0.80,0.90,+0.06,10
106/01/12,1381000,1258960,0.88,1.00,0.85,0.99,+0.09,21
106/01/13,994000,1034460,1.03,1.09,0.96,0.96,-0.03,31
106/01/16,846000,786680,0.91,0.95,0.90,0.95,-0.01,16
106/01/17,657000,610870,0.94,0.94,0.91,0.93,-0.02,10
106/01/18,186000,147300,0.82,0.82,0.79,0.80,-0.13,8
106/01/19,208000,156160,0.75,0.77,0.75,0.77,-0.03,3
106/01/20,675000,479400,0.74,0.74,0.65,0.65,-0.12,8
106/01/23,120000,80000,0.65,0.67,0.65,0.67,+0.02,2
106/01/24,50000,31500,0.63,0.63,0.63,0.63,-0.04,1
106/02/02,520000,253700,0.55,0.57,0.41,0.41,-0.22,10
106/02/03,741000,228630,0.32,0.33,0.29,0.32,-0.09,13
106/02/06,371000,135920,0.37,0.38,0.36,0.36,+0.04,6
106/02/07,690000,181100,0.31,0.31,0.22,0.24,-0.12,9
106/02/08,230000,57200,0.24,0.27,0.24,0.26,+0.02,7
106/02/09,50000,11000,0.22,0.22,0.22,0.22,-0.04,1
106/02/10,30000,8500,0.27,0.29,0.27,0.29,+0.07,2
