105/10/12,0,0,---,---,---,---,---,0
105/10/13,30000,29050,0.98,0.98,0.96,0.97,-0.03,3
105/10/14,16000,15490,0.94,0.97,0.94,0.97,0.00,3
105/10/17,20000,19300,0.97,0.97,0.96,0.96,-0.01,2
105/10/18,785000,775400,0.99,1.02,0.97,1.01,+0.05,12
105/10/19,770000,716050,0.94,0.94,0.90,0.90,-0.11,8
105/10/20,27000,24870,0.91,0.93,0.91,0.92,+0.02,3
105/10/21,37000,35380,0.94,0.96,0.94,0.96,+0.04,3
105/10/24,889000,923590,0.98,1.05,0.98,1.04,+0.08,23
105/10/25,1241000,1260520,1.02,1.03,0.98,1.01,-0.03,22
105/10/26,1256000,1280770,1.01,1.03,1.01,1.03,+0.02,9
105/10/27,140000,139590,1.00,1.00,0.99,0.99,-0.04,4
105/10/28,250000,248500,1.01,1.01,0.99,0.99,0.00,2
105/10/31,92000,91300,1.02,1.02,0.94,0.94,-0.05,6
105/11/01,10000,9300,0.93,0.93,0.93,0.93,-0.01,1
105/11/02,403000,399760,0.96,1.01,0.96,1.01,+0.08,12
105/11/03,734000,752520,1.02,1.03,0.99,1.03,+0.02,14
105/11/04,602000,625790,1.07,1.07,0.99,1.00,-0.03,6
105/11/07,1309000,1373560,0.95,1.08,0.95,1.05,+0.05,25
105/11/08,1382000,1309230,0.97,0.98,0.93,0.96,-0.09,24
105/11/09,163000,157810,0.95,1.01,0.92,1.01,+0.05,8
105/11/10,30000,26740,0.91,0.91,0.89,0.89,-0.12,3
105/11/11,104000,96440,0.92,0.93,0.91,0.93,+0.04,7
105/11/14,98000,94460,0.95,0.97,0.95,0.97,+0.04,6
105/11/15,82000,76040,0.92,0.93,0.92,0.93,-0.04,4
105/11/16,54000,48100,0.90,0.90,0.89,0.89,-0.04,3
105/11/17,70000,63950,0.92,0.92,0.89,0.89,0.00,4
105/11/18,17000,14620,0.86,0.86,0.86,0.86,-0.03,2
105/11/21,20000,17000,0.85,0.85,0.85,0.85,-0.01,2
105/11/22,85000,66800,0.78,0.79,0.78,0.78,-0.07,4
105/11/23,158000,125810,0.74,0.81,0.74,0.81,+0.03,11
105/11/24,238000,195240,0.82,0.85,0.79,0.85,+0.04,13
105/11/25,68000,57660,0.86,0.86,0.83,0.85,0.00,8
105/11/28,4000,3320,0.83,0.83,0.83,0.83,-0.02,1
105/11/29,99000,80600,0.82,0.82,0.81,0.82,-0.01,4
105/11/30,157000,132380,0.82,0.86,0.82,0.86,+0.04,7
