103/12/24,0,0,---,---,---,---,---,0
103/12/25,496000,1224000,2.46,2.50,2.46,2.50,+0.02,4
103/12/26,496000,1218250,2.43,2.46,2.42,2.46,-0.04,7
103/12/27,10000,24240,2.41,2.43,2.41,2.43,-0.03,3
103/12/29,103000,235110,2.38,2.38,2.26,2.27,-0.16,7
103/12/30,89000,194830,2.17,2.23,2.17,2.23,-0.04,9
103/12/31,41000,88300,2.19,2.19,2.12,2.14,-0.09,10
104/01/05,40000,84450,2.10,2.15,2.10,2.10,-0.04,7
104/01/06,86000,193490,2.18,2.39,2.16,2.35,+0.25,10
104/01/07,415000,976160,2.34,2.43,2.31,2.36,+0.01,21
104/01/08,573000,1299750,2.19,2.36,2.19,2.36,0.00,30
104/01/09,805000,1912990,2.31,2.40,2.30,2.36,0.00,28
104/01/12,536000,1308740,2.36,2.55,2.36,2.54,+0.18,18
104/01/13,481000,1179950,2.45,2.54,2.42,2.54,0.00,18
104/01/14,635000,1575850,2.46,2.54,2.40,2.40,-0.14,14
104/01/15,1081000,2594650,2.40,2.45,2.28,2.28,-0.12,19
104/01/16,1070000,2293180,2.08,2.21,2.08,2.21,-0.07,20
104/01/19,630000,1369400,2.18,2.18,2.16,2.18,-0.03,8
104/01/20,686000,1461200,2.10,2.15,2.10,2.11,-0.07,8
104/01/21,122000,261080,2.14,2.14,2.14,2.14,+0.03,4
104/01/22,210000,453400,2.14,2.18,2.14,2.18,+0.04,3
104/01/23,285000,623850,2.15,2.21,2.15,2.21,+0.03,4
104/01/26,194000,426860,2.18,2.21,2.18,2.19,-0.02,7
104/01/27,305000,654110,2.15,2.20,2.04,2.04,-0.15,11
104/01/28,250000,502850,2.04,2.04,2.01,2.01,-0.03,7
104/01/29,278000,565460,2.01,2.04,2.01,2.02,+0.01,8
104/01/30,687000,1368330,1.99,2.00,1.90,1.94,-0.08,13
104/02/02,1020000,1970370,1.92,1.95,1.92,1.92,-0.02,12
104/02/03,291000,553100,1.88,1.91,1.88,1.91,-0.01,7
104/02/04,1481000,2852840,1.91,1.98,1.91,1.98,+0.07,12
104/02/05,704000,1388600,1.96,1.99,1.92,1.92,-0.06,7
104/02/06,768000,1459140,1.88,1.90,1.88,1.90,-0.02,10
104/02/09,881000,1632660,1.86,1.86,1.84,1.84,-0.06,8
104/02/10,424000,803270,1.89,1.92,1.88,1.88,+0.04,5
104/02/11,143000,263820,1.85,1.85,1.84,1.84,-0.04,2
104/02/12,10000,18100,1.81,1.81,1.81,1.81,-0.03,1
104/02/13,0,0,---,---,---,---,---,0
104/02/24,1155000,1812170,1.67,1.67,1.49,1.56,-0.25,9
104/02/25,1523000,2535670,1.66,1.71,1.63,1.65,+0.09,15
104/02/26,357000,573400,1.65,1.65,1.54,1.54,-0.11,9
104/03/02,0,0,---,---,---,---,---,0
104/03/03,314000,389360,1.24,1.24,1.24,1.24,-0.23,5
104/03/04,230000,283400,1.24,1.24,1.16,1.20,-0.04,3
104/03/05,690000,718280,1.23,1.23,0.92,0.93,-0.27,20
104/03/06,628000,493650,0.87,0.87,0.74,0.79,-0.14,37
104/03/09,126000,105980,0.83,0.86,0.83,0.83,+0.04,22
104/03/10,115000,90110,0.83,0.83,0.78,0.79,-0.04,5
104/03/11,0,0,---,---,---,---,---,0
104/03/12,588000,422380,0.75,0.75,0.70,0.71,-0.10,11
104/03/13,32000,25150,0.74,0.80,0.74,0.80,+0.09,6
104/03/16,450000,405720,0.88,0.95,0.88,0.95,+0.15,13
104/03/17,1104000,869700,0.82,0.84,0.74,0.74,-0.21,34
104/03/18,165000,116200,0.70,0.74,0.68,0.68,-0.06,11
104/03/19,251000,165610,0.64,0.71,0.64,0.71,+0.03,11
104/03/20,25000,15950,0.64,0.66,0.61,0.66,-0.05,3
104/03/23,277000,182660,0.61,0.70,0.60,0.70,+0.04,13
104/03/24,272000,186060,0.67,0.72,0.67,0.69,-0.01,9
104/03/25,190000,128900,0.64,0.69,0.64,0.69,0.00,6
104/03/26,200000,138000,0.69,0.69,0.69,0.69,0.00,2
104/03/27,96000,70030,0.69,0.78,0.69,0.76,+0.07,7
104/03/30,30000,21300,0.71,0.71,0.71,0.71,-0.05,1
104/03/31,764000,460110,0.67,0.67,0.59,0.60,-0.11,11
104/04/01,285000,175350,0.62,0.63,0.59,0.59,-0.01,8
104/04/02,35000,19400,0.58,0.58,0.55,0.55,-0.04,2
104/04/07,390000,184600,0.50,0.50,0.46,0.48,-0.07,4
104/04/08,140000,69500,0.49,0.56,0.49,0.56,+0.08,3
104/04/09,55000,27950,0.50,0.51,0.50,0.51,-0.05,2
104/04/10,80000,42100,0.53,0.53,0.50,0.50,-0.01,4
104/04/13,0,0,---,---,---,---,---,0
104/04/14,10000,4200,0.42,0.42,0.42,0.42,-0.05,1
104/04/15,0,0,---,---,---,---,---,0
104/04/16,0,0,---,---,---,---,---,0
104/04/17,0,0,---,---,---,---,---,0
104/04/20,0,0,---,---,---,---,---,0
104/04/21,110000,35300,0.33,0.33,0.32,0.32,-0.11,2
104/04/22,92000,20170,0.21,0.22,0.21,0.22,-0.10,2
104/04/23,0,0,---,---,---,---,---,0
